순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
165;9788932473901;이기적 유전자(40주년 기념판);리처드 도킨스;을유문화사;20181020;과학;\20,000
166;9791158360801;이상한 손님(그림책이참좋아 47)(양장본 HardCover);백희나;책읽는곰;20180321;유아(0~7세);\12,000
167;9791160501261;부동산 상식사전;백영록;길벗;20170228;경제/경영;\16,500
168;9791158510619;타이탄의 도구들;팀 페리스;토네이도;20170403;자기계발;\15,000
169;9791187289319;마케터의 일;장인성;북스톤;20180405;경제/경영;\14,000
170;9791133463930;도티&잠뜰 스토리북-방탈출 대작전;대원키즈 편집부;대원키즈;20171102;어린이(초등);\8,500
171;9788992441575;욱하는 성질 죽이기;로널드 T.포터-에프론;다연;20141010;자기계발;\15,000
172;9791187481423;앞으로 5년 미중전쟁 시나리오(양장본 HardCover);최윤식;지식노마드;20180622;경제/경영;\25,000
173;9791133477296;어벤져스 인피니티 워 캐릭터도감;대원키즈 편집부;대원키즈;20180420;어린이(초등);\9,500
174;9788968330889;나에게 고맙다;전승환;허밍버드;20160701;시/에세이;\13,800
175;9791186560785;수학이 필요한 순간(양장본 HardCover);김민형;인플루엔셜;20180803;과학;\15,800
176;9788925563022;내가 소홀했던 것들;흔글;알에이치코리아;20180117;시/에세이;\13,800
177;9788935212224;댄 애리얼리 부의 감각;댄 애리얼리;청림출판;20180725;경제/경영;\18,000
178;9791161650401;여행영어 100일의 기적;문성현;넥서스;20170620;외국어;\12,000
179;9791160401455;스님의 주례사;법륜;휴;20180420;종교;\13,800
180;9791158510688;북유럽 신화;닐 게이먼;나무의철학;20170626;역사/문화;\14,800
181;9788950966447;프레임(양장본 HardCover);최인철;21세기북스;20160831;자기계발;\16,000
182;9791159031076;데미안(양장본 HardCover);헤르만 헤세;더스토리;20160627;소설;\9,800
183;9788926366028;백종원이 추천하는 집밥 메뉴 55(백종원이 추천하는 집밥 메뉴 3);백종원;서울문화사;20170421;요리;\9,900
184;9788901214801;어쩌면 내가 가장 듣고 싶었던 말;정희재;갤리온;20170203;시/에세이;\14,000
185;9788950973063;무엇이 되지 않더라도;김동영;아르테(arte);20171218;시/에세이;\15,000
186;9791162540145;플랫폼 제국의 미래;스콧 갤러웨이;비즈니스북스;20180430;경제/경영;\18,000
187;9788932030395;바다는 잘 있습니다(문학과지성 시인선 503);이병률;문학과지성사;20170920;시/에세이;\9,000
188;9788996895107;일빵빵 영어회화. 1(스토리가 있는);서장혁;토마토;20120601;외국어;\13,800
189;9788992969536;내가 만난 1%의 사람들;아담 J. 잭슨;씽크뱅크;20180110;자기계발;\15,000
190;9788936476694;나의 문화유산답사기: 산사 순례(반양장);유홍준;창비;20180830;역사/문화;\18,000
191;9791185419022;일빵빵 기초영어: 동사 조동사 편(입에 달고 사는);서장혁;토마토;20140102;외국어;\13,800
192;9788970129792;꿈을 꾸었다고 말했다(제42회 이상문학상 작품집 2018년);손홍규;문학사상;20180112;소설;\14,800
193;9788958628224;시를 잊은 그대에게;정재찬;휴머니스트;20150615;시/에세이;\15,000
194;9788925563770;11문자 살인사건(양장본 HardCover);히가시노 게이고;알에이치코리아;20180713;소설;\14,800
195;9791189125264;하루 5분 엄마의 말습관;임영주;예담프렌드;20180806;가정/육아;\14,800
196;9788983926845;오리진. 1;댄 브라운;문학수첩;20171123;소설;\13,000
197;9788959139309;어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북);김용택 (엮음);예담;20150604;시/에세이;\12,800
198;9788954643535;미스 함무라비;문유석;문학동네;20161202;소설;\13,500
199;9788965422495;해커스 토익스피킹(토스) Level. 7 8(2주 만에 끝내는)(개정판);해커스 어학연구소;해커스어학연구소;20180122;외국어;\19,800
200;9791186805992;블루오션 시프트(양장본 HardCover);김위찬;비즈니스북스;20171230;경제/경영;\20,000
