순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
136;9,78898E+12;리틀 빅 씽(양장본 HardCover);톰 피터스;더난출판사;20100722;자기계발;\18,000
137;9,78899E+12;보통의 존재;이석원;달;20091104;시/에세이;\12,000
138;9,78893E+12;이기적 유전자(30주년 기념판);리처드 도킨스;을유문화사;20060930;과학;\15,000
139;9,78896E+12;토마토 BASIC LISTENING(TAPE 별매)(토익이 가벼워지는)(2판);이성룡;능률교육;20081010;외국어;\12,000
140;9,78896E+12;우리는 사랑일까(2판)(양장본 HardCover);알랭 드 보통;은행나무;20110310;소설;\12,500
141;9,78898E+12;삐뽀삐뽀 119 이유식;하정훈;그린비;20060915;요리;\11,900
142;9,78896E+12;1초 만에 재무제표 읽는 법: 기본편;고미야 가즈요시;다산북스;20100701;경제/경영;\13,000
143;9,78894E+12;트와일라잇(Twilight): 트와일라잇 1부;스테프니 메이어;북폴리오;20080705;소설;\13,000
144;9,78893E+12;천 년의 침묵;이선영;김영사;20100127;소설;\12,000
145;9,78899E+12;세상에서 가장 아름다운 이별;노희경;북로그컴퍼니;20111210;소설;\12,000
146;9,7889E+12;서두르다 잃어버린 머뭇거리다 놓쳐버린(양장본 HardCover);고든 리빙스턴;리더스북;20100610;시/에세이;\13,000
147;9,78893E+12;21세기 먼나라 이웃나라. 13: 중국(1);이원복;김영사;20100811;어린이(초등);\11,900
148;9,78893E+12;원피스. 58;Eiichiro Oda;대원씨아이;20100824;만화;\4,500
149;9,7889E+12;ENGLISH RESTART ADVANCED. 2 : 리딩편;I. A. RICHARDS;뉴런;20080707;외국어;\10,000
150;9,78896E+12;진리의 말씀(양장본 HardCover);법정;이레;20090930;종교;\9,000
151;9,7889E+12;심리학이 서른 살에게 답하다;김혜남;걷는나무;20090511;인문;\12,000
152;9,7889E+12;내통장 사용설명서;이천;엘도라도;20090921;경제/경영;\12,000
153;9,78895E+12;버리고 떠나기;법정;샘터(샘터사);20010805;시/에세이;\8,500
154;9,78899E+12;HACKERS TOEFL WRITING BASIC(iBT)(CD1장포함);David Cho;해커스어학연구소;20061004;외국어;\16,900
155;9,7889E+12;FBI 행동의 심리학;조 내버로;리더스북;20100913;자기계발;\14,000
156;9,78893E+12;신. 1;베르나르 베르베르;열린책들;20081120;소설;\9,800
157;9,78898E+12;버전업 굿모닝 독학일본어 첫걸음(개정판)(CD2장포함);정선영;동양문고;20140305;외국어;\14,500
158;9,78897E+12;용의자 X의 헌신(양장본 HardCover);히가시노 게이고;현대문학;20060810;소설;\13,000
159;9,78895E+12;텅빈 충만;법정;샘터(샘터사);20011027;시/에세이;\8,500
160;9,78896E+12;구글드: 우리가 알던 세상의 종말(양장본 HardCover);켄 올레타;타임비즈;20100210;경제/경영;\20,000
161;9,78893E+12;개인의 취향;이새인;청어람;20070723;소설;\9,000
162;9,78899E+12;마음을 얻는 기술;레일 라운즈;비즈니스북스;20091201;자기계발;\13,000
163;9,78897E+12;연을 쫓는 아이(개정판);할레드 호세이니;열림원;20071217;소설;\13,500
164;9,78896E+12;공중그네;오쿠다 히데오;은행나무;20150615;소설;\12,000
165;9,78895E+12;행복에 목숨 걸지 마라;리처드 칼슨;한국경제신문사;20100720;시/에세이;\12,000
166;9,78893E+12;메이플 스토리 오프라인 RPG. 38(코믹);송도수;서울문화사;20100220;어린이(초등);\8,500
167;9,78894E+12;뉴문(New moon): 트와일라잇 2부;스테프니 메이어;북폴리오;20080805;소설;\13,000
168;9,78899E+12;HACKERS TOEFL READING BASIC (iBT);David Cho;해커스어학연구소;20060922;외국어;\15,900
169;9,78898E+12;양육쇼크(자녀 양육 시리즈 1);포 브론슨;물푸레;20091123;가정/육아;\14,800
170;9,78899E+12;HACKERS TOEFL WRITING (iBT)(CD2장포함);David Cho;해커스어학연구소;20060610;외국어;\19,500
171;9,78895E+12;그물에 걸리지 않는 바람처럼;법정;샘터(샘터사);20021022;종교;\8,500
172;9,78896E+12;메시지 신약;유진 피터슨;복있는사람;20091020;종교;\14,000
173;9,78052E+12;GRAMMAR IN USE INTERMEDIATE WITH ANSWERS(3RD EDITION);편집부;케임브리지;20090506;외국어;\18,000
174;9,78899E+12;화성에서 온 남자 금성에서 온 여자(개정판 2판);존 그레이;동녘라이프;20100415;자기계발;\13,000
175;9,78896E+12;4천만이 검색한 오늘의 요리;이혜영;중앙북스;20100217;요리;\13,000
176;9,78896E+12;멋지게 나이드는 법 46;도티 빌링턴;작은씨앗;20091107;자기계발;\12,000
177;9,78893E+12;CEO 안철수, 지금 우리에게 필요한 것은;안철수;김영사;20041216;자기계발;\10,900
178;9,78895E+12;알콩달콩 경제학. 1(정갑영 교수의 만화로 읽는);정갑영;21세기북스;20091204;경제/경영;\13,800
179;9,78895E+12;왜 도덕인가(양장본 HardCover);마이클 샌델;한국경제신문사;20101115;인문;\16,000
180;9,7889E+12;내 여자친구는 여행중;이미나;걷는나무;20100910;시/에세이;\12,000
181;9,789E+12;사랑하라 한번도 상처받지 않은 것처럼;류시화;오래된미래;20081024;시/에세이;\9,500
182;9,78899E+12;다잉 아이(양장본 HardCover);히가시노 게이고;재인;20100730;소설;\14,800
183;9,78896E+12;토마토 VOCA CHIP (토익 빈출보카의 바삭한 암기chip)(단어장1권포함)(단어장1권포함);이성룡;능률교육;20070918;외국어;\12,000
184;9,78897E+12;하악하악: 이외수의 생존법;이외수;해냄출판사;20080330;시/에세이;\14,500
185;9,78896E+12;뱀의 뇌에게 말을 걸지 마라;마크 고울스톤;타임비즈;20100320;자기계발;\13,000
186;9,78895E+12;로드(THE ROAD)(양장본 HardCover);코맥 매카시;문학동네;20080610;소설;\13,000
187;9,78895E+12;물소리 바람소리;법정;샘터(샘터사);20010903;시/에세이;\8,500
188;9,78899E+12;해커스 텝스 LISTENING: 청해(CD1장, 단어암기장1권, 해설집1권포함);David Cho;해커스어학연구소;20081114;외국어;\24,900
189;9,78898E+12;일본 재발견;이우광;삼성경제연구소;20100319;경제/경영;\13,000
190;9,78895E+12;닉 부이치치의 허그;닉 부이치치;두란노;20101004;종교;\12,000
191;9,78893E+12;추락천사;로렌 케이트;랜덤하우스코리아;20100106;소설;\12,000
192;9,78893E+12;100년 후(양장본 HardCover);조지 프리드먼;김영사;20100126;경제/경영;\16,800
193;9,78898E+12;가짜 백점(바른 마음 인성동화);권태문;HomeBook;20080725;어린이(초등);\8,000
194;9,78896E+12;끌림;이병률;랜덤하우스코리아;20050701;여행;\12,000
195;9,78899E+12;일본전산 이야기;김성호;쌤앤파커스;20090101;경제/경영;\13,000
196;9,78899E+12;강아지똥(민들레그림책 1)(양장본 HardCover);권정생;길벗어린이;20140418;유아(0~7세);\12,000
197;9,78896E+12;우리 아빠가 최고야(양장본 HardCover);앤서니 브라운;킨더랜드;20070215;유아(0~7세);\10,000
198;9,78898E+12;주식투자 무작정 따라하기(개정판);윤재수;길벗;20110502;경제/경영;\15,000
199;9,78895E+12;무슨 일이 일어났는지는 아무도;김영하;문학동네;20100720;소설;\10,000
200;9,78895E+12;산방한담(2판);법정;샘터(샘터사);20011017;시/에세이;\8,500
